day_number,probability
1,0.0018670803862344536
2,0.00231849128061552
3,0.002737381538432079
4,0.0027622909621836168
5,0.0026821399029417496
6,0.0026416701350250073
7,0.0026972657804136134
8,0.0026241466450602625
9,0.0026363760779098545
10,0.002757302640889704
11,0.0027403423484904012
12,0.0026707633121198266
13,0.00256317648576144
14,0.002709623944135307
15,0.002595536208735822
16,0.0026235995388538334
17,0.00272394525365654
18,0.0027122790183723897
19,0.002604273816679675
20,0.002612142491236847
21,0.002650552565199974
22,0.0026204939065643976
23,0.002691682078836234
24,0.002762628880722882
25,0.002723011954833808
26,0.002640479374458073
27,0.002616374518657166
28,0.002663055551152781
29,0.0025954074778637205
30,0.0026621383436890612
31,0.002719182211388804
32,0.00272658423653461
33,0.002672227625789975
34,0.002626978724246484
35,0.0026818019844024846
36,0.002629183240431213
37,0.0026731770159717197
38,0.002793894391284405
39,0.002750254625642176
40,0.0026436654635425723
41,0.0026625728103824024
42,0.0027094791219041932
43,0.0026836042166118986
44,0.002622199590619735
45,0.002896090612373563
46,0.0027805546546629417
47,0.0026578741335507167
48,0.0026243236500094014
49,0.00268785233539123
50,0.0026179031977633656
51,0.00269147289116907
52,0.002743576711651938
53,0.0027574957371978557
54,0.0026539800246696624
55,0.0026271718205546353
56,0.00269681522236126
57,0.0026279281144282285
58,0.002679983660834059
59,0.0027504477219503273
60,0.002762854159749058
61,0.002652515710999514
62,0.0026851972611541476
63,0.002650005458993545
64,0.002691392434374007
65,0.002696960044592374
66,0.0027618243127722503
67,0.002720035053416473
68,0.002650182463942684
69,0.0026494261700690906
70,0.0026297947120736925
71,0.002704217247507066
72,0.002630840650409513
73,0.002769789535483498
74,0.0027206626164179653
75,0.0026392725225321263
76,0.0026970565927464493
77,0.002640350643585972
78,0.002682767465943242
79,0.0027348069209900596
80,0.00278533378828969
81,0.002717412161897416
82,0.002640302369508934
83,0.0026410747547415403
84,0.002647800942808816
85,0.0026685909786531227
86,0.002693178575224408
87,0.00276047263861519
88,0.0026820272634286613
89,0.0026329164357221414
90,0.0026009107226460373
91,0.002489928619535988
92,0.0027144996259161314
93,0.0027084331835683733
94,0.002805480169773492
95,0.002713872062914639
96,0.002611418380081279
97,0.002624082279624212
98,0.0026241788277782878
99,0.0026598855534272943
100,0.0026835720338938733
101,0.002758638223687752
102,0.0027177661717956935
103,0.0025345660494369994
104,0.0026252086747550955
105,0.0026242271018553256
106,0.0026836203079709108
107,0.0026957210099484022
108,0.002741404378185234
109,0.0026992450175721662
110,0.0026319992282584216
111,0.002612818328315377
112,0.0026157791383736996
113,0.002663570474641185
114,0.0026816249794533458
115,0.002746553613069273
116,0.0026971531409005255
117,0.002616165330990002
118,0.0026155538593475225
119,0.002590563978800922
120,0.002637679477989877
121,0.002726487688380534
122,0.0027654770512681157
123,0.0027045068919692933
124,0.002610710360284724
125,0.0026723402653030634
126,0.00262812121073638
127,0.0026838616783561
128,0.002713115769041046
129,0.0027463122426840837
130,0.0027499167071029108
131,0.0026420724190003224
132,0.0026581798693719565
133,0.0025713187134218268
134,0.002720163784288574
135,0.002760134720075925
136,0.0028154246296432923
137,0.002755886601296593
138,0.0026674806748812514
139,0.0026573431187033
140,0.0027013529856028196
141,0.002768904510737804
142,0.0027935725641041525
143,0.002878599305126844
144,0.002814636153051674
145,0.002678808991626137
146,0.0024934365358007396
147,0.0025729117579640763
148,0.00260227848816211
149,0.002656635098906745
150,0.002728257737871923
151,0.0026635222005641467
152,0.002757222184094641
153,0.0027600864459988877
154,0.0027126169369116543
155,0.0027606174608463038
156,0.002764849488266623
157,0.002792912818384635
158,0.0027703688244079525
159,0.0027188282014905265
160,0.002688801725572975
161,0.002706872321744149
162,0.0027417744794425245
163,0.002780007548456513
164,0.0027535855369577884
165,0.0028053675302604037
166,0.0027211131744703187
167,0.0027298668737731845
168,0.002724154441323704
169,0.0027992689051946204
170,0.002765058675933787
171,0.0028640205338614087
172,0.0028011515941990975
173,0.0027276623575884554
174,0.0027245084512219817
175,0.0027265359624575724
176,0.0028088754465251556
177,0.002817645237187034
178,0.0028956722370392348
179,0.0028721305788037698
180,0.0027965494655214874
181,0.0027973540334721185
182,0.002861365459624326
183,0.0029095912625851524
184,0.002821555437427101
185,0.002127744310879907
186,0.0025921731147021836
187,0.002836552584026864
188,0.0029486771736268094
189,0.0028871116340445204
190,0.002900274365716845
191,0.0029115061343076543
192,0.0029513161565048796
193,0.002875606312350496
194,0.002736818340866637
195,0.0028268655859012663
196,0.0028344607073552235
197,0.0028926792442628873
198,0.002900885837359324
199,0.0029428842843822658
200,0.002863714798040169
201,0.002804337683283596
202,0.0028275736056978212
203,0.0028099052935019633
204,0.0028710363663909115
205,0.002876330423506064
206,0.00292817678224473
207,0.002868735302052107
208,0.002802905552331473
209,0.002802358446125044
210,0.002792623173922408
211,0.002847848718053724
212,0.0028510187157792105
213,0.0029488059044989103
214,0.0028791946854103104
215,0.002787329116807255
216,0.0028010389546860087
217,0.0028070410315977168
218,0.0028482992761060776
219,0.0028788889495890706
220,0.0029982707421037087
221,0.0029208069398169493
222,0.002820831326271533
223,0.0028194957434734855
224,0.002834541164150286
225,0.0028173395013657942
226,0.002898584773020519
227,0.0029831931387088824
228,0.0029316364244324432
229,0.0028396582163163
230,0.0028322883738885196
231,0.0028091650909873823
232,0.0029022214201573715
233,0.0028878679279181136
234,0.0029581549840852436
